"1","1","Adidas","Adidas AG"
"2","2","Nike ","Nike, Inc"
"3","3","Reebok","Reebok International Ltd."
"4","4","Timberland","Timberland LLC"
"5","5","Converse","Converse"
"6","2","Air Jordan","Nike, Inc"
"7","6","New Balance","New Balance Athletic Shoe"
"8","7","Vans","Vans"
"9","8","DC Shoes USA","DC Shoes"
"10","9","Lacoste","Lacoste"
"11","10","K-Swiss","K - Swiss, Inc"
"12","11","Under Armour","Under Amour, Inc"
"13","12","Saucony","Saucony"
"14","13","Superga","Superga"
"15","14","Le Coq Sportif","Le Coq Sportif"
"16","15","Asics","Asics"
"17","16","Polo","Ralph Lauren Corporation"
"18","17","Soviet","Soviet Denim"
"19","1","Yeezy","Adidas AG"
"20","18","Puma","Puma SE"
