"1","DHL","011 921 3600","allister@dhl.com","17 Bolt Road"
"2","RAM","011 977 5000","jacques@ram.co.za","16 Wrench Road"
"3","FedEx","080 003 3339","ralph@fedex.com","79 Express Road WI 7526"
"4","CourierIt","020 456 9822","jason@courierIt.co.za","N\A"
"5","PostNet","050 626 5262","chase@postnet.co.za","N\A"
"6","SkyNet","301 5122 5200","chad@skynet.co.za","N\A"
"7","TNT Express","512 103 5120","colt@tntexor.co.za","N\A"
"8","The Courier Guy","552 520 5130","joe@tcg.co.za","N\A"
"9","MDS Collivery","790 520 4512","jack@collivery.co.za","N\A"
"10","FastWay Couriers","752 520 8512","chadwin@fastway.co.za","N\A"
"11","Dawn Wing","789 852 6322","lionel@dawnwing.co.za","N/A"
"12","CitiSprint","025 101 4256","david@citis.co.za","N/A"
"15","Royale International","021 512 6230","casey@royale.co.za","N/A"
"16","WumDrop","052 102 5120","rico@wumdrop.co.za","N/A"
"17","X-International","022 230 6232","dwayne@xint.co.za","N/A"
